move_id,version_group_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance
1,1,1,40,35,100,0,10,2,1,
1,2,1,40,35,100,0,10,2,1,
1,3,1,40,35,100,0,10,2,1,
1,4,1,40,35,100,0,10,2,1,
1,5,1,40,35,100,0,10,2,1,
1,6,1,40,35,100,0,10,2,1,
1,12,1,40,35,100,0,10,2,1,
1,13,1,40,35,100,0,10,2,1,
1,7,1,40,35,100,0,10,2,1,
1,8,1,40,35,100,0,10,2,1,
1,9,1,40,35,100,0,10,2,1,
1,10,1,40,35,100,0,10,2,1,
1,11,1,40,35,100,0,10,2,1,
1,14,1,40,35,100,0,10,2,1,
2,1,2,50,25,100,0,10,2,44,
2,2,2,50,25,100,0,10,2,44,
2,3,2,50,25,100,0,10,2,44,
2,4,1,50,25,100,0,10,2,44,
2,5,1,50,25,100,0,10,2,44,
2,6,1,50,25,100,0,10,2,44,
2,12,1,50,25,100,0,10,2,44,
2,13,1,50,25,100,0,10,2,44,
2,7,1,50,25,100,0,10,2,44,
2,8,1,50,25,100,0,10,2,44,
2,9,1,50,25,100,0,10,2,44,
2,10,1,50,25,100,0,10,2,44,
2,11,1,50,25,100,0,10,2,44,
2,14,1,50,25,100,0,10,2,44,
3,1,1,15,10,85,0,10,2,30,
3,2,1,15,10,85,0,10,2,30,
3,3,1,15,10,85,0,10,2,30,
3,4,1,15,10,85,0,10,2,30,
3,5,1,15,10,85,0,10,2,30,
3,6,1,15,10,85,0,10,2,30,
3,12,1,15,10,85,0,10,2,30,
3,13,1,15,10,85,0,10,2,30,
3,7,1,15,10,85,0,10,2,30,
3,8,1,15,10,85,0,10,2,30,
3,9,1,15,10,85,0,10,2,30,
3,10,1,15,10,85,0,10,2,30,
3,11,1,15,10,85,0,10,2,30,
3,14,1,15,10,85,0,10,2,30,
4,1,1,18,15,85,0,10,2,30,
4,2,1,18,15,85,0,10,2,30,
4,3,1,18,15,85,0,10,2,30,
4,4,1,18,15,85,0,10,2,30,
4,5,1,18,15,85,0,10,2,30,
4,6,1,18,15,85,0,10,2,30,
4,12,1,18,15,85,0,10,2,30,
4,13,1,18,15,85,0,10,2,30,
4,7,1,18,15,85,0,10,2,30,
4,8,1,18,15,85,0,10,2,30,
4,9,1,18,15,85,0,10,2,30,
4,10,1,18,15,85,0,10,2,30,
4,11,1,18,15,85,0,10,2,30,
4,14,1,18,15,85,0,10,2,30,
5,1,1,80,20,85,0,10,2,1,
5,2,1,80,20,85,0,10,2,1,
5,3,1,80,20,85,0,10,2,1,
5,4,1,80,20,85,0,10,2,1,
5,5,1,80,20,85,0,10,2,1,
5,6,1,80,20,85,0,10,2,1,
5,12,1,80,20,85,0,10,2,1,
5,13,1,80,20,85,0,10,2,1,
5,7,1,80,20,85,0,10,2,1,
5,8,1,80,20,85,0,10,2,1,
5,9,1,80,20,85,0,10,2,1,
5,10,1,80,20,85,0,10,2,1,
5,11,1,80,20,85,0,10,2,1,
5,14,1,80,20,85,0,10,2,1,
6,1,1,40,20,100,0,10,2,35,
6,2,1,40,20,100,0,10,2,35,
6,3,1,40,20,100,0,10,2,35,
6,4,1,40,20,100,0,10,2,35,
6,5,1,40,20,100,0,10,2,35,
6,6,1,40,20,100,0,10,2,35,
6,12,1,40,20,100,0,10,2,35,
6,13,1,40,20,100,0,10,2,35,
6,7,1,40,20,100,0,10,2,35,
6,8,1,40,20,100,0,10,2,35,
6,9,1,40,20,100,0,10,2,35,
6,10,1,40,20,100,0,10,2,35,
6,11,1,40,20,100,0,10,2,35,
6,14,1,40,20,100,0,10,2,35,
7,1,10,75,15,100,0,10,2,5,10
7,2,10,75,15,100,0,10,2,5,10
7,3,10,75,15,100,0,10,2,5,10
7,4,10,75,15,100,0,10,2,5,10
7,5,10,75,15,100,0,10,2,5,10
7,6,10,75,15,100,0,10,2,5,10
7,12,10,75,15,100,0,10,2,5,10
7,13,10,75,15,100,0,10,2,5,10
7,7,10,75,15,100,0,10,2,5,10
7,8,10,75,15,100,0,10,2,5,10
7,9,10,75,15,100,0,10,2,5,10
7,10,10,75,15,100,0,10,2,5,10
7,11,10,75,15,100,0,10,2,5,10
7,14,10,75,15,100,0,10,2,5,10
8,1,15,75,15,100,0,10,2,6,10
8,2,15,75,15,100,0,10,2,6,10
8,3,15,75,15,100,0,10,2,6,10
8,4,15,75,15,100,0,10,2,6,10
8,5,15,75,15,100,0,10,2,6,10
8,6,15,75,15,100,0,10,2,6,10
8,12,15,75,15,100,0,10,2,6,10
8,13,15,75,15,100,0,10,2,6,10
8,7,15,75,15,100,0,10,2,6,10
8,8,15,75,15,100,0,10,2,6,10
8,9,15,75,15,100,0,10,2,6,10
8,10,15,75,15,100,0,10,2,6,10
8,11,15,75,15,100,0,10,2,6,10
8,14,15,75,15,100,0,10,2,6,10
9,1,13,75,15,100,0,10,2,7,10
9,2,13,75,15,100,0,10,2,7,10
9,3,13,75,15,100,0,10,2,7,10
9,4,13,75,15,100,0,10,2,7,10
9,5,13,75,15,100,0,10,2,7,10
9,6,13,75,15,100,0,10,2,7,10
9,12,13,75,15,100,0,10,2,7,10
9,13,13,75,15,100,0,10,2,7,10
9,7,13,75,15,100,0,10,2,7,10
9,8,13,75,15,100,0,10,2,7,10
9,9,13,75,15,100,0,10,2,7,10
9,10,13,75,15,100,0,10,2,7,10
9,11,13,75,15,100,0,10,2,7,10
9,14,13,75,15,100,0,10,2,7,10
10,1,1,40,35,100,0,10,2,1,
10,2,1,40,35,100,0,10,2,1,
10,3,1,40,35,100,0,10,2,1,
10,4,1,40,35,100,0,10,2,1,
10,5,1,40,35,100,0,10,2,1,
10,6,1,40,35,100,0,10,2,1,
10,12,1,40,35,100,0,10,2,1,
10,13,1,40,35,100,0,10,2,1,
10,7,1,40,35,100,0,10,2,1,
10,8,1,40,35,100,0,10,2,1,
10,9,1,40,35,100,0,10,2,1,
10,10,1,40,35,100,0,10,2,1,
10,11,1,40,35,100,0,10,2,1,
10,14,1,40,35,100,0,10,2,1,
11,1,1,55,30,100,0,10,2,1,
11,2,1,55,30,100,0,10,2,1,
11,3,1,55,30,100,0,10,2,1,
11,4,1,55,30,100,0,10,2,1,
11,5,1,55,30,100,0,10,2,1,
11,6,1,55,30,100,0,10,2,1,
11,12,1,55,30,100,0,10,2,1,
11,13,1,55,30,100,0,10,2,1,
11,7,1,55,30,100,0,10,2,1,
11,8,1,55,30,100,0,10,2,1,
11,9,1,55,30,100,0,10,2,1,
11,10,1,55,30,100,0,10,2,1,
11,11,1,55,30,100,0,10,2,1,
11,14,1,55,30,100,0,10,2,1,
12,1,1,1,5,30,0,10,2,39,
12,2,1,1,5,30,0,10,2,39,
12,3,1,1,5,30,0,10,2,39,
12,4,1,1,5,30,0,10,2,39,
12,5,1,1,5,30,0,10,2,39,
12,6,1,1,5,30,0,10,2,39,
12,12,1,1,5,30,0,10,2,39,
12,13,1,1,5,30,0,10,2,39,
12,7,1,1,5,30,0,10,2,39,
12,8,1,1,5,30,0,10,2,39,
12,9,1,1,5,30,0,10,2,39,
12,10,1,1,5,30,0,10,2,39,
12,11,1,1,5,30,0,10,2,39,
12,14,1,1,5,30,0,10,2,39,
13,1,1,80,10,100,0,11,3,40,
13,2,1,80,10,100,0,11,3,40,
13,3,1,80,10,100,0,11,3,40,
13,4,1,80,10,100,0,11,3,40,
13,5,1,80,10,100,0,11,3,40,
13,6,1,80,10,75,0,11,3,40,
13,12,1,80,10,75,0,11,3,40,
13,13,1,80,10,75,0,11,3,40,
13,7,1,80,10,75,0,11,3,40,
13,8,1,80,10,75,0,11,3,40,
13,9,1,80,10,75,0,11,3,40,
13,10,1,80,10,75,0,11,3,40,
13,11,1,80,10,75,0,11,3,40,
13,14,1,80,10,75,0,11,3,40,
14,1,1,0,30,,0,7,1,51,
14,2,1,0,30,,0,7,1,51,
14,3,1,0,30,,0,7,1,51,
14,4,1,0,30,,0,7,1,51,
14,5,1,0,30,,0,7,1,51,
14,6,1,0,30,,0,7,1,51,
14,12,1,0,30,,0,7,1,51,
14,13,1,0,30,,0,7,1,51,
14,7,1,0,30,,0,7,1,51,
14,8,1,0,30,,0,7,1,51,
14,9,1,0,30,,0,7,1,51,
14,10,1,0,30,,0,7,1,51,
14,11,1,0,30,,0,7,1,51,
14,14,1,0,30,,0,7,1,51,
15,1,1,50,30,95,0,10,2,1,
15,2,1,50,30,95,0,10,2,1,
15,3,1,50,30,95,0,10,2,1,
15,4,1,50,30,95,0,10,2,1,
15,5,1,50,30,95,0,10,2,1,
15,6,1,50,30,95,0,10,2,1,
15,12,1,50,30,95,0,10,2,1,
15,13,1,50,30,95,0,10,2,1,
15,7,1,50,30,95,0,10,2,1,
15,8,1,50,30,95,0,10,2,1,
15,9,1,50,30,95,0,10,2,1,
15,10,1,50,30,95,0,10,2,1,
15,11,1,50,30,95,0,10,2,1,
15,14,1,50,30,95,0,10,2,1,
16,1,3,40,35,100,0,10,3,150,
16,2,3,40,35,100,0,10,3,150,
16,3,3,40,35,100,0,10,3,150,
16,4,1,40,35,100,0,10,3,1,
16,5,1,40,35,100,0,10,3,1,
16,6,1,40,35,100,0,10,3,1,
16,12,1,40,35,100,0,10,3,1,
16,13,1,40,35,100,0,10,3,1,
16,7,1,40,35,100,0,10,3,1,
16,8,1,40,35,100,0,10,3,1,
16,9,1,40,35,100,0,10,3,1,
16,10,1,40,35,100,0,10,3,1,
16,11,1,40,35,100,0,10,3,1,
16,14,1,40,35,100,0,10,3,1,
17,1,3,60,35,100,0,10,2,1,
17,2,3,60,35,100,0,10,2,1,
17,3,3,60,35,100,0,10,2,1,
17,4,3,35,35,100,0,10,2,1,
17,5,3,35,35,100,0,10,2,1,
17,6,3,35,35,100,0,10,2,1,
17,12,3,35,35,100,0,10,2,1,
17,13,3,35,35,100,0,10,2,1,
17,7,3,35,35,100,0,10,2,1,
17,8,3,35,35,100,0,10,2,1,
17,9,3,35,35,100,0,10,2,1,
17,10,3,35,35,100,0,10,2,1,
